;file;new_index
0;../Datasets/MR/Parsed/Train/0_10000.txt;1439
1;../Datasets/MR/Parsed/Train/0_10001.txt;6989
2;../Datasets/MR/Parsed/Train/0_10002.txt;18
3;../Datasets/MR/Parsed/Train/0_10003.txt;9210
4;../Datasets/MR/Parsed/Train/0_10004.txt;7024
5;../Datasets/MR/Parsed/Train/0_10005.txt;5120
6;../Datasets/MR/Parsed/Train/0_10006.txt;9124
7;../Datasets/MR/Parsed/Train/0_10007.txt;4810
8;../Datasets/MR/Parsed/Train/0_10008.txt;5276
9;../Datasets/MR/Parsed/Train/0_10009.txt;2352
10;../Datasets/MR/Parsed/Train/0_10010.txt;8616
11;../Datasets/MR/Parsed/Train/0_10011.txt;3938
12;../Datasets/MR/Parsed/Train/0_10012.txt;3869
13;../Datasets/MR/Parsed/Train/0_10013.txt;6954
14;../Datasets/MR/Parsed/Train/0_10014.txt;4603
15;../Datasets/MR/Parsed/Train/0_10015.txt;2522
16;../Datasets/MR/Parsed/Train/0_10016.txt;10544
17;../Datasets/MR/Parsed/Train/0_10017.txt;3061
18;../Datasets/MR/Parsed/Train/0_10018.txt;827
19;../Datasets/MR/Parsed/Train/0_10019.txt;2688
20;../Datasets/MR/Parsed/Train/0_10020.txt;9130
21;../Datasets/MR/Parsed/Train/0_10021.txt;1395
22;../Datasets/MR/Parsed/Train/0_10022.txt;9350
23;../Datasets/MR/Parsed/Train/0_10023.txt;8646
24;../Datasets/MR/Parsed/Train/0_10024.txt;4949
25;../Datasets/MR/Parsed/Train/0_10025.txt;777
26;../Datasets/MR/Parsed/Train/0_10026.txt;8444
27;../Datasets/MR/Parsed/Train/0_10027.txt;4634
28;../Datasets/MR/Parsed/Train/0_10028.txt;7354
29;../Datasets/MR/Parsed/Train/0_10029.txt;2291
30;../Datasets/MR/Parsed/Train/0_10030.txt;9783
31;../Datasets/MR/Parsed/Train/0_10031.txt;9333
32;../Datasets/MR/Parsed/Train/0_10032.txt;4187
33;../Datasets/MR/Parsed/Train/0_10033.txt;5301
34;../Datasets/MR/Parsed/Train/0_10034.txt;4179
35;../Datasets/MR/Parsed/Train/0_10035.txt;2857
36;../Datasets/MR/Parsed/Train/0_10036.txt;9622
37;../Datasets/MR/Parsed/Train/0_10037.txt;3633
38;../Datasets/MR/Parsed/Train/0_10038.txt;2500
39;../Datasets/MR/Parsed/Train/0_10039.txt;8097
40;../Datasets/MR/Parsed/Train/0_10040.txt;937
41;../Datasets/MR/Parsed/Train/0_10041.txt;2959
42;../Datasets/MR/Parsed/Train/0_10042.txt;1785
43;../Datasets/MR/Parsed/Train/0_10043.txt;3765
44;../Datasets/MR/Parsed/Train/0_10044.txt;1181
45;../Datasets/MR/Parsed/Train/0_10045.txt;6266
46;../Datasets/MR/Parsed/Train/0_10046.txt;1495
47;../Datasets/MR/Parsed/Train/0_10047.txt;8911
48;../Datasets/MR/Parsed/Train/0_10048.txt;10149
49;../Datasets/MR/Parsed/Train/0_10049.txt;3471
50;../Datasets/MR/Parsed/Train/0_10050.txt;456
51;../Datasets/MR/Parsed/Train/0_10051.txt;1918
52;../Datasets/MR/Parsed/Train/0_10052.txt;2279
53;../Datasets/MR/Parsed/Train/0_10053.txt;6868
54;../Datasets/MR/Parsed/Train/0_10054.txt;5354
55;../Datasets/MR/Parsed/Train/0_10055.txt;5184
56;../Datasets/MR/Parsed/Train/0_10056.txt;9576
57;../Datasets/MR/Parsed/Train/0_10057.txt;6976
58;../Datasets/MR/Parsed/Train/0_10058.txt;3582
59;../Datasets/MR/Parsed/Train/0_10059.txt;6517
60;../Datasets/MR/Parsed/Train/0_10060.txt;3494
61;../Datasets/MR/Parsed/Train/0_10061.txt;8334
62;../Datasets/MR/Parsed/Train/0_10062.txt;8079
63;../Datasets/MR/Parsed/Train/0_10063.txt;2632
64;../Datasets/MR/Parsed/Train/0_10064.txt;2375
65;../Datasets/MR/Parsed/Train/0_10065.txt;2366
66;../Datasets/MR/Parsed/Train/0_10066.txt;5139
67;../Datasets/MR/Parsed/Train/0_10067.txt;2585
68;../Datasets/MR/Parsed/Train/0_10068.txt;4665
69;../Datasets/MR/Parsed/Train/0_10069.txt;5108
70;../Datasets/MR/Parsed/Train/0_10070.txt;2330
71;../Datasets/MR/Parsed/Train/0_10071.txt;6372
72;../Datasets/MR/Parsed/Train/0_10072.txt;2993
73;../Datasets/MR/Parsed/Train/0_10073.txt;242
74;../Datasets/MR/Parsed/Train/0_10074.txt;1000
75;../Datasets/MR/Parsed/Train/0_10075.txt;3969
76;../Datasets/MR/Parsed/Train/0_10076.txt;5937
77;../Datasets/MR/Parsed/Train/0_10077.txt;3561
78;../Datasets/MR/Parsed/Train/0_10078.txt;8409
79;../Datasets/MR/Parsed/Train/0_10079.txt;2768
80;../Datasets/MR/Parsed/Train/0_10080.txt;8364
81;../Datasets/MR/Parsed/Train/0_10081.txt;5393
82;../Datasets/MR/Parsed/Train/0_10082.txt;9964
83;../Datasets/MR/Parsed/Train/0_10083.txt;9033
84;../Datasets/MR/Parsed/Train/0_10084.txt;8796
85;../Datasets/MR/Parsed/Train/0_10085.txt;2190
86;../Datasets/MR/Parsed/Train/0_10086.txt;950
87;../Datasets/MR/Parsed/Train/0_10087.txt;6626
88;../Datasets/MR/Parsed/Train/0_10088.txt;4033
89;../Datasets/MR/Parsed/Train/0_10089.txt;6032
90;../Datasets/MR/Parsed/Train/0_10090.txt;802
91;../Datasets/MR/Parsed/Train/0_10091.txt;5157
92;../Datasets/MR/Parsed/Train/0_10092.txt;7133
93;../Datasets/MR/Parsed/Train/0_10093.txt;4233
94;../Datasets/MR/Parsed/Train/0_10094.txt;7358
95;../Datasets/MR/Parsed/Train/0_10095.txt;5721
96;../Datasets/MR/Parsed/Train/0_10096.txt;8458
97;../Datasets/MR/Parsed/Train/0_10097.txt;4447
98;../Datasets/MR/Parsed/Train/0_10098.txt;4353
99;../Datasets/MR/Parsed/Train/0_10099.txt;9464
